role_id,action,count
commit_veto_controller,COMMIT_PATCH,97
commit_veto_controller,VETO_AND_RETRY,14
effect_script_synthesizer,SYNTHESIZE_EFFECT_SCRIPT,111
gate_secret_route_designer,ASK_LLM_CLUE_LINES,9
gate_secret_route_designer,DESIGN_GATE_THRESHOLDS,102
llm_prompt_composer,ASK_LLM_BOUNDED_DRAFT,111
mcp_context_router,READ_MCP_CONTEXT,7
mcp_context_router,SELECT_MCP_PACKET,99
mcp_context_router,SHRINK_CONTEXT,6
option_manifold_planner,ASK_LLM_OPTION_SET,111
reaction_dynamics_mapper,ASK_LLM_REACTION_TEXT,111
validator_repair_critic,RUN_VALIDATOR,7
validator_repair_critic,SELECT_REPAIR_TARGET,104
world_state_summarizer,BUILD_STATE_CARD,111
