n_agents,episode,seed,turns,final_loyalty,final_reciprocity,final_promise_keeping,meta_consistency,average_survival,coalition_rate,defect_rate,betray_rate,isolate_rate,death_ground_rate,instability_index,cohesion_index,paine_violations,death_ground_entries,burn_boats_signals,asymmetric_vulnerability_events
4,0,20264206,12,0.48668,0.369129,0.443459,0.987606,0.630144,0.479167,0.333333,0.020833,0.020833,0.145833,0.354167,0.427904,0.0,1.0,1.0,1.0
4,1,20264207,12,0.821771,0.778095,0.691846,0.981301,0.993632,0.979167,0.0,0.0,0.0,0.020833,0.0,0.799933,0.0,0.0,0.0,0.0
4,2,20264208,12,0.688769,0.651196,0.605728,0.982738,0.862584,0.854167,0.020833,0.020833,0.041667,0.0625,0.041667,0.669983,0.0,0.0,0.0,2.0
4,3,20264209,12,0.791533,0.706185,0.696056,0.981632,1.0,0.958333,0.041667,0.0,0.0,0.0,0.041667,0.748859,0.0,0.0,0.0,0.0
4,4,20264210,12,0.471975,0.359077,0.425932,0.983057,0.555375,0.520833,0.3125,0.020833,0.0,0.145833,0.333333,0.415526,0.0,2.0,2.0,0.0
4,5,20264211,12,0.510114,0.37225,0.420843,0.96928,0.768322,0.645833,0.270833,0.0625,0.020833,0.0,0.333333,0.441182,0.0,0.0,0.0,1.0
4,6,20264212,12,0.812097,0.752688,0.690826,0.98555,0.959065,0.958333,0.0,0.0,0.020833,0.020833,0.0,0.782392,0.0,0.0,0.0,0.0
4,7,20264213,12,0.637445,0.50673,0.558916,0.982124,0.839067,0.770833,0.145833,0.020833,0.0,0.0625,0.166667,0.572087,0.0,0.0,0.0,8.0
4,8,20264214,12,0.474905,0.388071,0.420926,0.986381,0.681957,0.583333,0.125,0.166667,0.020833,0.104167,0.291667,0.431488,0.0,3.0,3.0,2.0
4,9,20264215,12,0.751387,0.634218,0.645766,0.98231,0.920523,0.875,0.104167,0.0,0.0,0.020833,0.104167,0.692803,0.0,0.0,0.0,0.0
4,10,20264216,12,0.490024,0.379027,0.423375,0.9821,0.620959,0.583333,0.291667,0.041667,0.0,0.083333,0.333333,0.434526,0.0,1.0,1.0,0.0
