n_agents,episode,seed,average_trust,average_survival,propose_coalition_rate,defect_rate,betray_rate,isolate_rate,commit_total_war_rate,instability_index,paine_violations,death_ground_entries,burn_boats_signals,asym_vulnerability_events,betrayal_collapses
4,0,20264206,0.3461876156315781,0.21643863450621878,0.125,0.025,0.025,0.0,0.825,0.05,0.0,1.0,1.0,21.0,0.0
4,1,20264207,0.4698713882470652,0.304611615724857,0.1,0.0,0.0,0.025,0.875,0.0,0.0,2.0,2.0,10.0,0.0
4,2,20264208,0.7854944260544441,0.8153571278965263,0.675,0.0,0.0,0.0,0.325,0.0,0.0,0.0,0.0,5.0,0.0
4,3,20264209,0.6037369646090067,0.6063927689661435,0.5,0.0,0.025,0.0,0.475,0.025,0.0,0.0,0.0,8.0,1.0
4,4,20264210,0.6385683942407203,0.7459711684313021,0.525,0.025,0.0,0.0,0.45,0.025,1.0,0.0,0.0,10.0,0.0
4,5,20264211,0.9557359083845378,0.9701433088484548,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,20264212,0.7778858991131532,0.8721922134996504,0.65,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,10.0,0.0
4,7,20264213,0.6527608781864485,0.5922997410499115,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,15.0,0.0
4,8,20264214,0.5744811184673849,0.7398192005990868,0.5,0.0,0.025,0.0,0.475,0.025,0.0,0.0,0.0,18.0,1.0
4,9,20264215,0.4213200486883259,0.31857763235919384,0.25,0.0,0.025,0.0,0.725,0.025,0.0,6.0,6.0,21.0,0.0
4,10,20264216,0.5836832410691982,0.6087609889558416,0.475,0.0,0.075,0.0,0.45,0.075,0.0,2.0,2.0,15.0,1.0
4,11,20264217,0.5980968870077609,0.7879404912725297,0.575,0.025,0.025,0.0,0.375,0.05,1.0,0.0,0.0,10.0,0.0
4,12,20264218,0.6421380871909176,0.7734391750875559,0.575,0.0,0.025,0.0,0.4,0.025,0.0,0.0,0.0,14.0,1.0
4,13,20264219,0.6683913291934357,0.6271050285229439,0.525,0.025,0.0,0.0,0.45,0.025,0.0,0.0,0.0,9.0,0.0
4,14,20264220,0.8260129306157364,0.8019760674303763,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5.0,0.0
4,15,20264221,0.5756231470409952,0.6314159140775389,0.4,0.0,0.025,0.025,0.55,0.025,0.0,0.0,0.0,8.0,1.0
5,0,20265206,0.7766528972960591,0.7917813742531484,0.64,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,15.0,0.0
5,1,20265207,0.8616969038685646,0.8203374568055359,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,10.0,0.0
5,2,20265208,0.6078906559268799,0.35783090004244916,0.4,0.02,0.0,0.0,0.58,0.02,0.0,0.0,0.0,12.0,0.0
5,3,20265209,0.6936932992698375,0.5598779913336431,0.46,0.0,0.0,0.0,0.54,0.0,1.0,0.0,0.0,18.0,0.0
5,4,20265210,0.7629131235688276,0.731869137280392,0.62,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,14.0,0.0
5,5,20265211,0.7449874177160974,0.6473197199056828,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,15.0,0.0
5,6,20265212,0.671435191914215,0.434533522245358,0.46,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,16.0,0.0
5,7,20265213,0.9651155975749315,0.9849856684443002,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,8,20265214,0.6621518196561261,0.30066797893278085,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,20.0,0.0
5,9,20265215,0.3236591788217235,0.01746010151161101,0.1,0.0,0.04,0.0,0.86,0.04,0.0,7.0,7.0,17.0,1.0
5,10,20265216,0.7706005569722902,0.7931614226031555,0.6,0.0,0.0,0.02,0.38,0.0,0.0,0.0,0.0,7.0,0.0
5,11,20265217,0.6299654337626471,0.5075479788791009,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,19.0,0.0
5,12,20265218,0.7767260955323901,0.7296854070329497,0.62,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,7.0,0.0
5,13,20265219,0.7582638123834842,0.6936336067573314,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,13.0,0.0
5,14,20265220,0.6060824530044164,0.36489782194807235,0.36,0.0,0.0,0.0,0.64,0.0,0.0,2.0,2.0,23.0,0.0
5,15,20265221,0.5856439907180694,0.3120894923747248,0.34,0.0,0.0,0.02,0.64,0.0,0.0,2.0,2.0,14.0,0.0
