"group","key","source","local_path","status","size_bytes","note"
"web","goodstart_research","https://goodstartlabs.com/research","C:\projects\GPTStoryworld\social-reasoning\sources\web\goodstart_research.html","ok","37823","html snapshot"
"web","goodstart_diplomacy_leaderboard","https://goodstartlabs.com/leaderboards/diplomacy","C:\projects\GPTStoryworld\social-reasoning\sources\web\goodstart_diplomacy_leaderboard.html","ok","33540","html snapshot"
"web","every_diplomacy_article","https://every.to/diplomacy","C:\projects\GPTStoryworld\social-reasoning\sources\web\every_diplomacy_article.html","ok","137255","html snapshot"
"web","arxiv_abs_2508_07485","https://arxiv.org/abs/2508.07485","C:\projects\GPTStoryworld\social-reasoning\sources\web\arxiv_abs_2508_07485.html","ok","47028","html snapshot"
"web","arxiv_abs_2310_08901","https://arxiv.org/abs/2310.08901","C:\projects\GPTStoryworld\social-reasoning\sources\web\arxiv_abs_2310_08901.html","ok","45944","html snapshot"
"web","arxiv_abs_2110_02924","https://arxiv.org/abs/2110.02924","C:\projects\GPTStoryworld\social-reasoning\sources\web\arxiv_abs_2110_02924.html","ok","47580","html snapshot"
"web","arxiv_abs_2006_04635","https://arxiv.org/abs/2006.04635","C:\projects\GPTStoryworld\social-reasoning\sources\web\arxiv_abs_2006_04635.html","ok","49699","html snapshot"
"web","arxiv_abs_2210_05492","https://arxiv.org/abs/2210.05492","C:\projects\GPTStoryworld\social-reasoning\sources\web\arxiv_abs_2210_05492.html","ok","46722","html snapshot"
"web","arxiv_abs_2304_03442","https://arxiv.org/abs/2304.03442","C:\projects\GPTStoryworld\social-reasoning\sources\web\arxiv_abs_2304_03442.html","ok","48207","html snapshot"
"web","arxiv_abs_2402_01680","https://arxiv.org/abs/2402.01680","C:\projects\GPTStoryworld\social-reasoning\sources\web\arxiv_abs_2402_01680.html","ok","47003","html snapshot"
"web","arxiv_abs_2308_08155","https://arxiv.org/abs/2308.08155","C:\projects\GPTStoryworld\social-reasoning\sources\web\arxiv_abs_2308_08155.html","ok","46505","html snapshot"
"web","arxiv_abs_2303_17760","https://arxiv.org/abs/2303.17760","C:\projects\GPTStoryworld\social-reasoning\sources\web\arxiv_abs_2303_17760.html","ok","47867","html snapshot"
"web","arxiv_abs_2308_10848","https://arxiv.org/abs/2308.10848","C:\projects\GPTStoryworld\social-reasoning\sources\web\arxiv_abs_2308_10848.html","ok","47834","html snapshot"
